seed,ate_true,s1_true,s0_true,ate_naive,s1_naive,s0_naive,bias,reversal
85,0.150959064187067,0.483640081799591,0.332681017612525,0.0147407499250543,0.435281610306262,0.420540860381208,-0.136218314262012,0
86,0.174914798636779,0.473107569721116,0.298192771084337,0.0423955660539346,0.453115117940566,0.410719551886632,-0.132519232582844,0
87,0.144451305001346,0.471275559883155,0.326824254881809,0.00285360969506476,0.442509805715056,0.439656196019991,-0.141597695306282,0
88,0.12651819939177,0.454816285998014,0.328298086606244,0.00181171436150218,0.427763186084982,0.42595147172348,-0.124706485030268,0
89,0.147017543859649,0.453684210526316,0.306666666666667,0.023947855080461,0.439705869852075,0.415758014771614,-0.123069688779188,0
90,0.141451592193118,0.458686440677966,0.317234848484849,0.00966451791390699,0.45235233057565,0.442687812661744,-0.131787074279211,0
91,0.128799326277674,0.4725168756027,0.343717549325026,0.030529032380236,0.402259003969645,0.371729971589409,-0.0982702938974382,0
92,0.133604316517967,0.463039014373717,0.32943469785575,-0.0331276132233296,0.414720883803846,0.447848497027176,-0.166731929741296,1
93,0.126276055244273,0.465433300876339,0.339157245632066,0.0606076638069717,0.463234965639406,0.402627301832434,-0.0656683914373014,0
94,0.146767803758835,0.466929911154985,0.32016210739615,0.0425085767398674,0.461775151766522,0.419266575026655,-0.104259227018968,0
95,0.120907809597027,0.452519379844961,0.331611570247934,-0.0395959293274164,0.419436574699206,0.459032504026623,-0.160503738924444,1
96,0.179748807691577,0.500503524672709,0.320754716981132,0.02312636661706,0.443322620962318,0.420196254345258,-0.156622441074517,0
97,0.131299548981707,0.445205479452055,0.313905930470348,0.0199658446475313,0.425605478003022,0.405639633355491,-0.111333704334176,0
98,0.151355416415404,0.458207452165156,0.306852035749752,0.0247438524651545,0.459135317145569,0.434391464680414,-0.126611563950249,0
99,0.172267814771986,0.467583497053045,0.295315682281059,0.0300263179816704,0.438776134167703,0.408749816186033,-0.142241496790316,0
100,0.11594703511802,0.444444444444445,0.328497409326425,0.0174616550777602,0.432296774032504,0.414835118954744,-0.0984853800402596,0
101,0.130784130784131,0.457457457457457,0.326673326673326,0.0729073640262562,0.442829151177689,0.369921787151433,-0.0578767667578748,0
102,0.145548959050103,0.470647773279352,0.325098814229249,0.0062304966618052,0.441725631797881,0.435495135136076,-0.139318462388298,0
103,0.121398948548479,0.46077457795432,0.339375629405841,0.0470677732200016,0.427115824822886,0.380048051602884,-0.0743311753284777,0
104,0.180926317137188,0.499015748031497,0.318089430894309,-0.00352465199053154,0.433591810451158,0.437116462441689,-0.184450969127719,1
105,0.0907469080647543,0.429778247096093,0.339031339031339,-0.0104053945169031,0.440264831752966,0.450670226269869,-0.101152302581657,1
106,0.135718410283447,0.446948356807511,0.311229946524064,0.0172353222924193,0.432043223969234,0.414807901676814,-0.118483087991028,0
107,0.125636354724055,0.467124631992149,0.341488277268094,0.0668364104845609,0.459284093815315,0.392447683330754,-0.0587999442394943,0
108,0.1516851459873,0.473477406679764,0.321792260692464,-0.00983590549796531,0.424618241614422,0.434454147112387,-0.161521051485265,1
109,0.135366531840241,0.473630831643002,0.338264299802761,-0.0231204749810319,0.440784154355057,0.463904629336088,-0.158487006821273,1
110,0.130855817331209,0.44354018311292,0.312684365781711,-0.0114770602697276,0.43972846231119,0.451205522580917,-0.142332877600936,1
111,0.171719327995542,0.471824259789876,0.300104931794334,-0.00608299310453431,0.438701707095728,0.444784700200262,-0.177802321100076,1
112,0.151969861119864,0.469928644240571,0.317958783120706,-0.000698212835696044,0.436004790064191,0.436703002899887,-0.15266807395556,1
113,0.12482398873528,0.448412698412699,0.323588709677419,0.0493397638068701,0.43480387462362,0.38546411081675,-0.0754842249284099,0
114,0.124083102077552,0.453731343283582,0.32964824120603,-0.00208647527438044,0.451765899378398,0.453852374652778,-0.126169577351932,1
115,0.105617802240881,0.437625754527163,0.332007952286282,-0.00258877387864409,0.43006627076922,0.432655044647865,-0.108206576119525,1
116,0.147390909063632,0.481737413622902,0.334346504559271,0.00795564548201333,0.448706196927626,0.440750551445612,-0.139435263581619,0
117,0.165696421410135,0.488602576808722,0.322906155398587,0.0535790846234692,0.427369645472156,0.373790560848687,-0.112117336786665,0
118,0.153526190020933,0.462729912875121,0.309203722854188,0.0015083892384814,0.443857412539628,0.442349023301146,-0.152017800782452,0
119,0.182174914798637,0.487951807228916,0.305776892430279,-0.0167230544432841,0.430299202196613,0.447022256639898,-0.198897969241921,1
120,0.147728966195288,0.468904244817375,0.321175278622087,0.00128993920896447,0.425078937190772,0.423788997981808,-0.146439026986323,0
121,0.161808578838039,0.481294236602629,0.31948565776459,-0.0173319197657379,0.41388901904018,0.431220938805918,-0.179140498603777,1
122,0.131326181935637,0.453360080240722,0.322033898305085,0.0661297067489131,0.448984061324422,0.382854354575509,-0.0651964751867244,0
123,0.168237728704604,0.473305954825462,0.305068226120858,0.0482876994441386,0.447267083192453,0.398979383748314,-0.119950029260466,0
124,0.156864629380486,0.466942148760331,0.310077519379845,-0.0141063566332233,0.448723503947994,0.462829860581217,-0.170970986013709,1
125,0.12002494097536,0.439752832131822,0.319727891156463,0.0174079983513825,0.426662891477153,0.409254893125771,-0.102616942623977,0
126,0.128889248992959,0.44354018311292,0.314650934119961,0.0140048375983548,0.432780450097536,0.418775612499181,-0.114884411394604,0
127,0.167604752970607,0.475897435897436,0.308292682926829,0.058589499768833,0.45968530254828,0.401095802779447,-0.109015253201774,0
128,0.151368465094956,0.456838021338506,0.30546955624355,-0.00220558074485,0.432212361096298,0.434417941841148,-0.153574045839806,1
129,0.167948603836911,0.47571853320119,0.307769929364278,0.00882388040146287,0.427327498757742,0.41850361835628,-0.159124723435448,0
130,0.15266201096343,0.471502590673575,0.318840579710145,-0.00398052345163491,0.419492588863213,0.423473112314848,-0.156642534415065,1
131,0.135049556854573,0.471106758080313,0.336057201225741,-0.0127455101537939,0.427376118907145,0.440121629060939,-0.147795067008367,1
132,0.155643400790607,0.470588235294117,0.314944834503511,0.0669785194987984,0.459646733401792,0.392668213902994,-0.0886648812918083,0
133,0.131523914393642,0.451038575667656,0.319514661274014,0.00133763696380595,0.431062630915499,0.429724993951694,-0.130186277429836,0
134,0.167366368880606,0.455260570304818,0.287894201424212,0.052237531250287,0.438493769603941,0.386256238353654,-0.115128837630319,0
135,0.147621233440439,0.475327291037261,0.327706057596822,0.0961336878014438,0.475066624153385,0.378932936351941,-0.0514875456389948,0
136,0.127578251334315,0.462235649546828,0.334657398212512,0.0396027147799773,0.436126277367396,0.396523562587419,-0.087975536554338,0
137,0.194638778555115,0.507014028056113,0.312375249500998,-0.0130492658948484,0.427244763211135,0.440294029105984,-0.207688044449963,1
138,0.125420052896849,0.4501573976915,0.324737344794651,0.00521056726561087,0.45730980518771,0.452099237922099,-0.120209485631238,0
139,0.163320724467046,0.466985645933015,0.303664921465969,0.0596884325841509,0.448305162091803,0.388616729507652,-0.103632291882895,0
140,0.142566570266281,0.462925851703406,0.320359281437126,0.0240110456930382,0.424254896505106,0.400243850812067,-0.118555524573242,0
141,0.168584720984364,0.478859390363815,0.310274669379451,0.00171410562147378,0.443526385863736,0.441812280242262,-0.16687061536289,0
142,0.14663474040912,0.488843813387424,0.342209072978304,0.058396845363104,0.476723135979491,0.418326290616387,-0.0882378950460163,0
143,0.138610554442217,0.471943887775551,0.333333333333334,0.019891115540028,0.446774834494443,0.426883718954415,-0.118719438902189,0
144,0.11592072046121,0.453648915187376,0.337728194726166,-0.00258163699715386,0.455106986024419,0.457688623021573,-0.118502357458364,1
145,0.122862286228623,0.454545454545454,0.331683168316832,-0.00693579937665012,0.420513025196678,0.427448824573328,-0.129798085605273,1
146,0.14499061913696,0.452682926829268,0.307692307692308,0.0556397716954445,0.466267436445076,0.410627664749631,-0.0893508474415158,0
147,0.196566786267145,0.48997995991984,0.293413173652695,-0.0164416920812198,0.445728590213439,0.462170282294659,-0.213008478348365,1
148,0.150790926585481,0.478931140801645,0.328140214216164,-0.0569457078225657,0.430427421410965,0.487373129233531,-0.207736634408047,1
149,0.190259384523861,0.476419634263715,0.286160249739854,0.0621198074194611,0.442755764142227,0.380635956722766,-0.1281395771044,0
150,0.112706189384023,0.435318275154004,0.322612085769981,-0.0254607257144084,0.424811916312648,0.450272642027057,-0.138166915098432,1
151,0.14246548447941,0.467153284671533,0.324687800192123,0.0473235862767338,0.44900922515482,0.401685638878086,-0.095141898202676,0
152,0.119011777649972,0.459113300492611,0.340101522842639,0.0530569486612322,0.44433047073716,0.391273522075928,-0.0659548289887398,0
153,0.158113807218385,0.474268415741675,0.31615460852329,0.0360609233655524,0.430225757349568,0.394164833984015,-0.122052883852832,0
154,0.127726372276135,0.461375661375661,0.333649289099526,0.0501640312684545,0.466963461170624,0.41679942990217,-0.0775623410076804,0
155,0.124863685932388,0.446428571428571,0.321564885496184,-0.0635977300316573,0.394089652663711,0.457687382695369,-0.188461415964045,1
156,0.12,0.441,0.321,0.0444298099870305,0.430190414253873,0.385760604266842,-0.0755701900129696,0
157,0.153878462055393,0.467131474103586,0.313253012048193,0.0439984363162728,0.451501702810444,0.407503266494172,-0.10988002573912,0
158,0.118618270257729,0.424453280318092,0.305835010060362,0.00961646019737883,0.433463816758727,0.423847356561349,-0.10900181006035,0
159,0.150486680327869,0.4609375,0.310450819672131,0.0028789475511708,0.436013606553934,0.433134659002763,-0.147607732776698,0
160,0.140546886797453,0.459781529294935,0.319234642497482,-0.000206977487079762,0.447566352003741,0.44777332949082,-0.140753864284533,1
161,0.13399143427352,0.4725168756027,0.338525441329179,0.0200791613739779,0.447391327062558,0.42731216568858,-0.113912272899542,0
162,0.132803099581268,0.468354430379747,0.335551330798479,-0.0129322492235211,0.422545718366921,0.435477967590442,-0.145735348804789,1
163,0.162153862466253,0.46795523906409,0.305801376597837,-0.0143576915539845,0.447464070712239,0.461821762266223,-0.176511554020237,1
164,0.148658448150834,0.485714285714286,0.337055837563452,0.00758380356094257,0.46754982757826,0.459966024017318,-0.141074644589891,0
165,0.137162558993707,0.485158648925281,0.347996089931574,-0.0122306922793729,0.402038853543103,0.414269545822476,-0.14939325127308,1
166,0.13455228082598,0.456016177957533,0.321463897131553,0.00346068130523869,0.430409772928497,0.426949091623258,-0.131091599520741,0
167,0.120148373562856,0.458715596330275,0.338567222767419,0.0381881759103172,0.454017943845031,0.415829767934714,-0.0819601976525388,0
168,0.164381259528087,0.481670061099796,0.317288801571709,-0.00244483286720598,0.459085192695244,0.46153002556245,-0.166826092395293,1
169,0.136482455577651,0.469465648854962,0.332983193277311,0.00716318501368385,0.451360550268161,0.444197365254477,-0.129319270563967,0
170,0.179496795342972,0.482376636455186,0.302879841112215,0.0157091762600964,0.440354958211086,0.42464578195099,-0.163787619082875,0
171,0.128251154260388,0.439317953861585,0.311066799601197,0.00740476589714101,0.406906297583397,0.399501531686256,-0.120846388363247,0
172,0.20465309779826,0.499007936507937,0.294354838709677,-0.0481897690262613,0.440578730176488,0.48876849920275,-0.252842866824521,1
173,0.133767262485797,0.451581027667984,0.317813765182187,0.000750196158113781,0.423829797380465,0.423079601222351,-0.133017066327684,0
174,0.152570610282441,0.468937875751503,0.316367265469062,0.00608152604291701,0.45617049932036,0.450088973277443,-0.146489084239524,0
175,0.179339316249584,0.491718426501035,0.312379110251451,-0.00382090015525693,0.443783305985573,0.44760420614083,-0.183160216404841,1
176,0.126006144884863,0.438259109311741,0.312252964426878,0.0122519151934584,0.442927080215873,0.430675165022415,-0.113754229691405,0
177,0.156606694912203,0.485207100591716,0.328600405679513,-0.0099346619088988,0.419473493853234,0.429408155762133,-0.166541356821101,1
178,0.176359587236285,0.481444332998997,0.305084745762712,0.0689938078949028,0.446990138241301,0.377996330346398,-0.107365779341382,0
179,0.124392095212665,0.462760675273088,0.338368580060423,0.0352001659785608,0.462895249730431,0.42769508375187,-0.0891919292341042,0
180,0.172858765740252,0.479083665338646,0.306224899598394,0.0436549055485453,0.429597325801886,0.385942420253341,-0.129203860191707,0
181,0.144748144748145,0.446446446446447,0.301698301698302,-0.0408278961420534,0.40989504895799,0.450722945100043,-0.185576040890198,1
182,0.15390156062425,0.474489795918367,0.320588235294118,0.023380227874638,0.434921911343632,0.411541683468994,-0.130521332749612,0
183,0.167679509115582,0.470588235294118,0.302908726178536,0.0367484150929636,0.453912968567513,0.417164553474549,-0.130931094022619,0
184,0.186262980207682,0.501004016064256,0.314741035856574,0.045695661405337,0.454090121112731,0.408394459707394,-0.140567318802345,0
185,0.122147483183716,0.465989847715736,0.34384236453202,0.0180882728364662,0.453887555606518,0.435799282770052,-0.10405921034725,0
186,0.164573974427357,0.479065238558909,0.314491264131552,-0.0175176826449545,0.443549216998573,0.461066899643528,-0.182091657072312,1
187,0.134074323026695,0.475609756097561,0.341535433070866,0.00183088683819221,0.42850953336825,0.426678646530058,-0.132243436188503,0
188,0.14979714979715,0.473473473473474,0.323676323676324,-0.0320524655004135,0.429834388146981,0.461886853647395,-0.181849615297564,1
189,0.13073813073813,0.434434434434434,0.303696303696304,0.00462082626996274,0.41884700353403,0.414226177264067,-0.126117304468168,0
190,0.179787107379805,0.485826001955034,0.30603889457523,-0.000461909153337436,0.410477352280813,0.41093926143415,-0.180249016533142,1
191,0.108190819081908,0.444554455445544,0.336363636363637,0.067440311129809,0.43994860659266,0.372508295462851,-0.0407505079520986,0
192,0.156426011264721,0.479838709677419,0.323412698412699,0.0528119205870861,0.448952113629768,0.396140193042682,-0.103614090677635,0
193,0.152177913619561,0.458502024291498,0.306324110671937,0.0177329611339324,0.451513321245269,0.433780360111337,-0.134444952485629,0
194,0.163127348312422,0.465897166841553,0.302769818529131,0.0383927181598052,0.448244958140487,0.409852239980681,-0.124734630152617,0
195,0.15248066227034,0.477993858751279,0.325513196480939,0.0403735148928218,0.448606883978316,0.408233369085495,-0.112107147377518,0
196,0.143934393439344,0.468686868686869,0.324752475247524,-0.00278694240127653,0.444717441739527,0.447504384140804,-0.146721335840621,1
197,0.129775167976512,0.435692921236291,0.305917753259779,-0.0129016406172316,0.438379423334937,0.451281063952168,-0.142676808593743,1
198,0.128478659088658,0.45658835546476,0.328109696376102,0.0189064206670533,0.453624308371761,0.434717887704708,-0.109572238421605,0
199,0.147078676966924,0.465671641791045,0.318592964824121,0.0214611024447741,0.445722809871152,0.424261707426378,-0.12561757452215,0
